Transaction Date,Post Date,Description,Amount
2025-05-01,2025-05-02,Whole Foods Market,54.23
2025-05-03,2025-05-04,Uber Trip NYC,18.50
2025-05-05,2025-05-06,CVS Pharmacy,12.99
2025-05-06,2025-05-07,Spotify Subscription,9.99
2025-05-07,2025-05-08,Starbucks Coffee,5.75
2025-05-08,2025-05-09,Blue Cross Premium,120.00
2025-05-10,2025-05-11,Netflix Monthly,15.49
2025-05-12,2025-05-13,Shell Gas Station,45.00
2025-05-14,2025-05-15,Employer Payroll,2500.00
2025-05-16,2025-05-17,Apple Store Purchase,-199.99
